id,latitude,longitude,period,persist,radius,drogue,t,u,v
114902.0,26.483,-42.709,6.28162726096717,131.75,3724.2790681940073,1.0,12913.25,-0.038374722221605116,0.019655803166254815
114902.0,26.494,-42.721000000000004,8.082166088146622,131.75,5647.241292064773,1.0,12913.5,-0.04648039794296913,0.020531243178912258
114902.0,26.507,-42.73000000000002,8.082166088146622,131.75,5634.95734020101,1.0,12913.75,-0.04990800628625641,0.008940349115675164
114902.0,26.497,-42.75,8.082166088146622,131.75,4712.669505387543,1.0,12914.0,-0.04225598902253625,-0.0035381205777420535
114902.0,26.491,-42.759000000000015,8.383279204236711,131.75,3274.046822411078,1.0,12914.25,-0.027793931159500202,0.005841832365328133
114902.0,26.491,-42.752999999999986,6.165531736643359,131.75,2339.181486982501,1.0,12914.5,-0.026465234231632852,0.007799156445977282
114902.0,26.499,-42.762,5.764884135914432,131.75,2951.1988622658937,1.0,12914.75,-0.03674312092322202,0.005991207874787643
114902.0,26.49,-42.762,5.226439904588488,131.75,3827.7532131743783,1.0,12915.0,-0.05300933169781411,-0.0051649452815907835
114902.0,26.505,-42.78800000000001,4.890588832103468,131.75,4503.285033914643,1.0,12915.25,-0.055862088032213784,-0.03692506378239596
114902.0,26.489,-42.79599999999999,4.056384796228776,131.75,3694.6899921382587,1.0,12915.5,-0.041352081485752534,-0.05174391755861673
114902.0,26.475,-42.815999999999974,4.890588832103468,131.75,3314.2457310941095,1.0,12915.75,-0.00896998465900218,-0.048458952293988306
114902.0,26.467,-42.80799999999999,5.196220354599346,131.75,2634.129120663067,1.0,12916.0,0.02839638560866335,-0.023509193786394298
114902.0,26.461,-42.79399999999998,4.071348869081761,131.75,2528.786201534607,1.0,12916.25,0.0404735894266007,0.020052977473238125
114909.0,23.421,-45.365999999999985,30.215548753453017,102.25,30940.373492472376,1.0,12850.75,-0.008715430134564517,-0.07395476507686376
114909.0,23.403,-45.363,20.83978609647772,102.25,20480.41449152346,1.0,12851.0,-0.002649205099680744,-0.0714188792487604
114909.0,23.402,-45.36700000000002,20.83978609647772,102.25,21059.84700122642,1.0,12851.25,-0.007462142888532816,-0.0731101386710762
114909.0,23.371,-45.351,20.83978609647772,102.25,20740.22884314201,1.0,12851.5,-0.005720272633241263,-0.0721482287313132
114909.0,23.373,-45.36500000000001,20.83978609647772,102.25,20046.920240444822,1.0,12851.75,0.003117465640643565,-0.06988578777414901
114909.0,23.341,-45.367999999999995,22.32490626318657,102.25,21567.620088693628,1.0,12852.0,0.02141035177296268,-0.06691334129039728
114909.0,23.348,-45.36700000000002,29.92273673850745,102.25,33164.20465357956,1.0,12852.25,0.04186053684441181,-0.06887696476556264
